filename,ts,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:11.000Z,48.416442275047,10.014132633805,331.8,,164,88,8.176,,
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:12.000Z,48.416495919228,10.014182254672,332.0,,180,89,8.575,,0.00405
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:13.000Z,48.416522741318,10.014209076762,332.0,,198,92,9.119,,0.00709
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:14.000Z,48.416549563408,10.0142352283,332.0,,214,93,9.76,,0.01013
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:15.000Z,48.416554927826,10.014245957136,332.0,,235,92,10.429,,0.01216
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:16.000Z,48.41659784317,10.01428887248,331.8,,269,91,11.412,,0.01722
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:17.000Z,48.416608572006,10.014306306839,331.8,,291,90,12.352,,0.02229
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:18.000Z,48.41665148735,10.014349222183,331.8,67,306,90,13.064,,0.02431
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:19.000Z,48.416662216187,10.014365315437,331.8,67,312,90,13.277,,0.02735
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:20.000Z,48.416699767113,10.014418289065,331.8,67,318,90,13.291,,0.0314
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:21.000Z,48.416715860367,10.014438405633,331.8,67,313,89,13.036,,0.03444
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:22.000Z,48.416748046875,10.014484673738,331.8,67,306,89,12.737,,0.03951
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:23.000Z,48.416758775711,10.014501437545,331.8,67,304,88,12.564,,0.04153
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:24.000Z,48.416796326637,10.01454167068,332.0,67,304,88,12.506,,0.0466
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:25.000Z,48.416807055473,10.014557093382,332.0,67,299,87,12.366,,0.04862
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:26.000Z,48.416839241982,10.014602690935,331.8,67,296,87,12.265,,0.05268
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:27.000Z,48.416855335236,10.014618784189,331.8,67,287,87,11.88,,0.0547
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:28.000Z,48.416882157326,10.014650970697,331.8,67,283,86,11.725,,0.05774
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:29.000Z,48.416892886162,10.01466371119,331.8,67,284,87,11.822,,0.06179
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:30.000Z,48.416930437088,10.014712661505,331.8,67,286,88,12.053,,0.06686
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:31.000Z,48.416941165924,10.014729425311,331.8,67,287,89,12.096,,0.06888
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:32.000Z,48.41697871685,10.01476764679,331.8,67,295,89,12.492,,0.07192
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:33.000Z,48.416994810104,10.014783069491,331.8,67,299,89,12.593,,0.07597
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:34.000Z,48.417026996613,10.014819279313,331.8,67,292,88,12.323,,0.07901
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:35.000Z,48.417037725449,10.01483336091,331.8,67,285,87,12.038,,0.08307
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:36.000Z,48.417069911957,10.014878287911,331.6,67,279,87,11.794,,0.08509
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:37.000Z,48.417080640793,10.01489572227,331.6,67,275,86,11.524,,0.08914
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:38.000Z,48.417112827301,10.014935284853,331.6,67,269,86,11.326,,0.09117
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:39.000Z,48.417123556137,10.014951378107,331.6,67,270,87,11.369,,0.09624
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:40.000Z,48.417155742645,10.014984235168,331.6,67,273,87,11.524,,0.09826
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:41.000Z,48.417166471481,10.014995634556,331.6,67,278,88,11.808,,0.10029
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:42.000Z,48.417209386826,10.015034526587,331.8,67,281,89,11.966,,0.10535
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:43.000Z,48.417220115662,10.015047937632,331.8,67,284,89,12.121,,0.10738
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:44.000Z,48.417257666588,10.015083476901,331.6,67,283,88,12.107,,0.11244
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:45.000Z,48.417268395424,10.015095546842,331.6,67,279,87,11.909,,0.11447
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:46.000Z,48.417300581932,10.015126392245,331.6,67,273,86,11.668,,0.11852
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:47.000Z,48.417311310768,10.015137791634,331.6,67,269,86,11.48,,0.12156
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:48.000Z,48.417338132858,10.015179365873,331.4,67,265,85,11.297,,0.12359
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:49.000Z,48.417348861694,10.015196800232,331.4,67,263,85,11.124,,0.12764
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:50.000Z,48.417381048203,10.015227645636,331.4,67,255,85,10.728,,0.13169
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:51.000Z,48.417386412621,10.015237703919,331.4,67,253,85,10.642,,0.13372
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:52.000Z,48.417429327965,10.01526452601,331.4,67,254,86,10.642,,0.13574
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:53.000Z,48.417440056801,10.015275254846,331.4,67,254,86,10.627,,0.13979
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:54.000Z,48.417466878891,10.015309453011,331.4,67,255,86,10.685,,0.14182
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:55.000Z,48.417482972145,10.015322864056,331.2,67,263,86,11.084,,0.14688
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:56.000Z,48.417472243309,10.015314817429,331.2,67,259,86,10.897,,0.14891
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:57.000Z,48.417504429817,10.015363767743,331.2,67,253,86,10.642,,0.15195
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:58.000Z,48.417520523071,10.015393942595,331.2,67,245,86,10.256,,0.15398
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:15:59.000Z,48.417558073997,10.015426799655,331.4,67,237,86,9.857,,0.156
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:00.000Z,48.417574167252,10.015438869596,331.4,67,225,86,9.331,,0.15904
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:01.000Z,48.417600989342,10.015467703342,331.4,67,220,86,9.09,,0.16107
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:02.000Z,48.417611718178,10.015478432178,331.4,67,221,88,9.216,,0.16512
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:03.000Z,48.41763317585,10.015520006418,331.4,67,229,87,9.616,,0.16715
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:04.000Z,48.417643904686,10.01553542912,331.4,67,237,86,9.774,,0.1712
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:05.000Z,48.417665362358,10.015566945076,331.6,67,252,86,10.285,,0.17322
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:06.000Z,48.417681455612,10.015576332808,331.4,67,261,86,10.67,,0.17525
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:07.000Z,48.41771364212,10.015605166554,331.4,67,260,85,10.642,,0.1793
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:08.000Z,48.417729735374,10.015614554286,331.6,67,261,85,10.57,,0.18133
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:09.000Z,48.417756557465,10.01565746963,331.6,67,264,85,10.771,,0.18639
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:10.000Z,48.417772650719,10.015671551228,331.6,67,268,85,10.868,,0.18842
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:11.000Z,48.417810201645,10.015705749393,331.6,67,271,85,11.012,,0.19044
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:12.000Z,48.417826294899,10.015720501542,331.6,67,278,85,11.282,,0.19551
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:13.000Z,48.417853116989,10.015755370259,331.6,67,282,85,11.466,,0.19754
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:14.000Z,48.417863845825,10.015770122409,331.6,67,283,85,11.48,,0.20159
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:15.000Z,48.417896032333,10.015797615051,331.6,67,282,85,11.369,,0.20463
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:16.000Z,48.417901396751,10.015808343887,331.8,67,281,85,11.282,,0.20665
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:17.000Z,48.417944312096,10.01583583653,331.8,67,278,86,11.138,,0.2107
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:18.000Z,48.417955040932,10.015846565366,331.8,67,276,86,10.998,,0.21273
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:19.000Z,48.417992591858,10.015887469053,332.0,67,274,86,10.955,,0.21678
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:20.000Z,48.418003320694,10.015902221203,332.0,67,273,85,10.94,,0.21881
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:21.000Z,48.41804087162,10.015942454338,332.0,67,279,85,11.012,,0.22185
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:22.000Z,48.418056964874,10.015958547592,332.0,67,285,85,11.167,,0.2259
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:23.000Z,48.418089151382,10.015994757414,332.2,67,289,86,11.297,,0.22995
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:24.000Z,48.418099880219,10.016008168459,332.2,67,295,86,11.524,,0.23299
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:25.000Z,48.418137431145,10.016043037176,332.2,67,303,87,11.74,,0.23502
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:26.000Z,48.418153524399,10.016055777669,332.4,67,308,87,11.837,,0.23907
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:27.000Z,48.418185710907,10.016090646386,332.2,67,303,87,11.74,,0.24211
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:28.000Z,48.418196439743,10.016104057431,332.2,67,299,86,11.794,,0.24616
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:29.000Z,48.418191075325,10.016095340252,332.2,67,289,86,11.48,,0.24818
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:30.000Z,48.418223261833,10.016140267253,332.4,67,278,86,11.196,,0.25224
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:31.000Z,48.418244719505,10.016165748239,332.4,67,272,86,11.11,,0.25426
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:32.000Z,48.41828763485,10.016211345792,332.4,67,272,86,11.153,,0.25629
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:33.000Z,48.418298363686,10.016229450703,332.4,67,275,86,11.07,,0.26135
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:34.000Z,48.418325185776,10.016271695495,332.4,67,281,86,11.21,,0.26338
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:35.000Z,48.418335914612,10.016288459301,332.6,67,287,85,11.34,,0.26743
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:36.000Z,48.41836810112,10.016324669123,332.6,67,288,86,11.326,,0.26946
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:37.000Z,48.418378829956,10.016340091825,332.6,67,288,86,11.311,,0.27452
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:38.000Z,48.418411016464,10.016384348273,332.6,67,287,86,11.311,,0.27655
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:39.000Z,48.4184217453,10.016399100423,332.6,132,288,87,11.426,,0.27858
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:40.000Z,48.41844856739,10.016450062394,332.8,132,290,87,11.567,,0.28364
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:41.000Z,48.418459296227,10.0164668262,332.8,132,290,87,11.682,,0.28567
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:42.000Z,48.418486118317,10.016513764858,332.8,132,291,87,11.768,,0.28972
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:43.000Z,48.418496847153,10.016531199217,332.8,132,292,87,11.866,,0.29174
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:44.000Z,48.418523669243,10.016582161188,332.8,131,291,87,11.808,,0.29681
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:45.000Z,48.418539762497,10.016601607203,332.6,131,291,87,11.808,,0.29883
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:46.000Z,48.418566584587,10.016657933593,332.6,131,290,87,11.88,,0.3039
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:47.000Z,48.418577313423,10.016678720713,332.6,131,292,87,11.966,,0.30593
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:48.000Z,48.418604135513,10.016727671027,332.6,131,291,87,11.909,,0.30795
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:49.000Z,48.418614864349,10.016748458147,332.6,132,291,87,11.938,,0.31302
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:50.000Z,48.41864168644,10.016798749566,332.8,132,290,87,11.938,,0.31707
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:51.000Z,48.418652415276,10.016816854477,332.8,132,292,87,11.995,,0.3191
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:52.000Z,48.418679237366,10.016864463687,332.8,132,294,88,12.038,,0.32213
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:53.000Z,48.418689966202,10.016883909702,332.8,132,294,88,12.096,,0.32619
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:54.000Z,48.41872215271,10.016927495599,332.8,134,297,89,11.981,,0.33024
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:55.000Z,48.418732881546,10.016942918301,332.8,134,295,90,12.01,,0.33226
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:56.000Z,48.418759703636,10.016998574138,332.8,134,294,90,12.096,,0.33733
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:57.000Z,48.418765068054,10.017019361258,332.8,134,296,91,12.28,,0.33936
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:58.000Z,48.418791890144,10.017078369856,332.8,134,299,91,12.424,,0.34239
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:16:59.000Z,48.41880261898,10.017103180289,332.8,134,305,90,12.708,,0.34645
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:00.000Z,48.418834805489,10.017150118947,332.8,134,306,89,12.791,,0.35151
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:01.000Z,48.418845534325,10.017166882753,332.8,134,304,89,12.564,,0.35354
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:02.000Z,48.418877720833,10.017215833068,332.8,134,299,89,12.323,,0.35658
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:03.000Z,48.418888449669,10.017234608531,333.0,134,302,89,12.395,,0.36063
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:04.000Z,48.418926000595,10.017293617129,333.0,136,308,89,12.679,,0.36569
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:05.000Z,48.418936729431,10.017315745354,333.0,136,313,90,12.863,,0.36873
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:06.000Z,48.418963551521,10.017373412848,333.0,136,317,90,13.079,,0.37278
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:07.000Z,48.418974280357,10.01739487052,333.0,136,323,91,13.349,,0.37582
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:08.000Z,48.419006466866,10.017446503043,333.0,136,320,91,13.291,,0.37785
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:09.000Z,48.419017195702,10.017468631268,333.0,139,312,91,13.064,,0.38291
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:10.000Z,48.41904938221,10.017528310418,332.8,139,309,90,12.978,,0.38798
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:11.000Z,48.419060111046,10.017550438643,333.0,139,308,90,12.935,,0.39001
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:12.000Z,48.419086933136,10.017604082823,333.0,139,309,90,12.906,,0.39203
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:13.000Z,48.419097661972,10.017625540495,333.2,139,310,90,12.892,,0.3971
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:14.000Z,48.419119119644,10.017681866884,333.2,140,311,89,12.848,,0.40216
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:15.000Z,48.41912984848,10.017701983452,333.0,140,309,90,12.834,,0.40419
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:16.000Z,48.41915667057,10.017759650946,333.0,140,308,90,12.863,,0.40723
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:17.000Z,48.419172763824,10.017782449722,333.0,140,306,89,12.834,,0.41128
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:18.000Z,48.419199585915,10.017839446664,333.0,141,308,89,12.906,,0.41432
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:19.000Z,48.419210314751,10.01786224544,333.0,141,311,89,13.093,,0.41938
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:20.000Z,48.419237136841,10.01790985465,333.0,141,313,89,13.19,,0.42141
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:21.000Z,48.419242501259,10.017929971218,333.2,141,315,89,13.291,,0.42647
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:22.000Z,48.419274687767,10.017984285951,333.2,141,314,90,13.262,,0.4285
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:23.000Z,48.419285416603,10.018006414175,333.2,142,314,90,13.19,,0.43356
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:24.000Z,48.419317603111,10.01806139946,333.2,142,310,90,13.036,,0.4366
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:25.000Z,48.419328331947,10.018083527684,333.2,142,308,89,12.848,,0.44065
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:26.000Z,48.419355154037,10.018133148551,333.2,142,304,89,12.607,,0.44369
2024_09_29_HM_Ulm_2024.csv,2024-09-29T07:17:27.000Z,48.419371247292,10.018153265119,333.2,142,301,88,12.449,,0.44775
