filename,ts,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2025_02_07_14468144119.csv,2025-02-07T03:27:42.000Z,48.414548635483,9.944878667593,458.2,,48,39,2.48,,
2025_02_07_14468144119.csv,2025-02-07T03:27:43.000Z,48.414548635483,9.944878667593,458.0,,52,60,2.279,,0.00101
2025_02_07_14468144119.csv,2025-02-07T03:27:45.000Z,48.414521813393,9.944879338145,457.6,,60,62,3.175,,0.00304
2025_02_07_14468144119.csv,2025-02-07T03:27:46.000Z,48.414521813393,9.944879338145,457.4,,71,63,4.388,,0.00507
2025_02_07_14468144119.csv,2025-02-07T03:27:47.000Z,48.414478898048,9.944912865758,457.2,,80,76,5.771,,0.00709
2025_02_07_14468144119.csv,2025-02-07T03:27:48.000Z,48.414468169212,9.944920241833,456.8,101,106,79,7.135,,0.01013
2025_02_07_14468144119.csv,2025-02-07T03:27:49.000Z,48.414430618286,9.944956451654,456.4,101,132,79,8.503,,0.01216
2025_02_07_14468144119.csv,2025-02-07T03:27:50.000Z,48.414425253868,9.944963157177,456.2,101,144,80,8.932,,0.01621
2025_02_07_14468144119.csv,2025-02-07T03:27:51.000Z,48.41439306736,9.945000708103,456.0,101,144,81,9.004,,0.01823
2025_02_07_14468144119.csv,2025-02-07T03:27:52.000Z,48.414387702942,9.945006072521,455.8,101,147,80,9.144,,0.02026
2025_02_07_14468144119.csv,2025-02-07T03:27:53.000Z,48.414382338524,9.945011436939,455.6,101,152,80,9.144,,0.02431
2025_02_07_14468144119.csv,2025-02-07T03:27:54.000Z,48.41433942318,9.945065751672,455.4,101,170,80,9.288,,0.02533
2025_02_07_14468144119.csv,2025-02-07T03:27:55.000Z,48.414334058762,9.945072457194,455.2,101,184,80,9.173,,0.02735
2025_02_07_14468144119.csv,2025-02-07T03:27:56.000Z,48.414334058762,9.945073127747,454.8,101,189,80,9.173,,0.0314
2025_02_07_14468144119.csv,2025-02-07T03:27:57.000Z,48.414285778999,9.945122748613,454.6,101,191,81,9.245,,0.03343
2025_02_07_14468144119.csv,2025-02-07T03:27:58.000Z,48.414285778999,9.945129454136,454.4,101,195,82,9.418,,0.03546
2025_02_07_14468144119.csv,2025-02-07T03:27:59.000Z,48.414253592491,9.945165663958,454.0,101,194,81,9.418,,0.03951
2025_02_07_14468144119.csv,2025-02-07T03:28:00.000Z,48.414248228073,9.945176392794,453.6,101,196,82,9.544,,0.04153
2025_02_07_14468144119.csv,2025-02-07T03:28:01.000Z,48.414216041565,9.945215955377,453.4,101,198,82,9.688,,0.04356
2025_02_07_14468144119.csv,2025-02-07T03:28:02.000Z,48.414210677147,9.945224002004,453.0,101,198,83,9.76,,0.04761
2025_02_07_14468144119.csv,2025-02-07T03:28:03.000Z,48.414173126221,9.9452675879,452.8,101,199,83,9.828,,0.04964
2025_02_07_14468144119.csv,2025-02-07T03:28:04.000Z,48.414167761803,9.945276305079,452.6,108,202,83,9.972,,0.05369
2025_02_07_14468144119.csv,2025-02-07T03:28:05.000Z,48.414167761803,9.945274293423,452.4,108,205,83,10.141,,0.05572
2025_02_07_14468144119.csv,2025-02-07T03:28:06.000Z,48.414135575294,9.945337325335,452.0,108,207,83,10.228,,0.05774
2025_02_07_14468144119.csv,2025-02-07T03:28:07.000Z,48.414124846458,9.945356100798,451.8,108,208,84,10.343,,0.06179
2025_02_07_14468144119.csv,2025-02-07T03:28:08.000Z,48.414087295532,9.945396333933,451.6,108,210,83,10.372,,0.06382
2025_02_07_14468144119.csv,2025-02-07T03:28:09.000Z,48.414087295532,9.94540438056,451.4,114,210,82,10.343,,0.06787
2025_02_07_14468144119.csv,2025-02-07T03:28:10.000Z,48.414044380188,9.945447966456,451.0,114,212,82,10.343,,0.0699
